	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
VARIABLES	re78	re78	re78	re78	re78	re78	re78	re78	re78	re78	re78	re78
												
treated				-0.0209	-0.00415	-0.00415	-0.0209	-0.00415	-0.00415			
				(0.605)	(0.547)	(0.547)	(0.605)	(0.547)	(0.547)			
age		0.0553	0.0543		0.238***	0.238***		0.238***	0.238***		0.196***	-0.0751***
		(0.0438)	(0.0438)		(0.0270)	(0.0270)		(0.0270)	(0.0270)		(0.0273)	(0.0205)
educ		0.415**	0.404**		1.825***	1.825***		1.825***	1.825***		1.768***	0.520***
		(0.175)	(0.175)		(0.0991)	(0.0991)		(0.0991)	(0.0991)		(0.0984)	(0.0752)
black		-2.229*	-2.180*		-4.535***	-4.535***		-4.535***	-4.535***		-3.166***	-0.648
		(1.156)	(1.156)		(0.659)	(0.659)		(0.659)	(0.659)		(0.679)	(0.492)
hisp		0.0885	0.144		0.243	0.243		0.243	0.243		1.012	2.203**
		(1.541)	(1.541)		(1.527)	(1.527)		(1.527)	(1.527)		(1.515)	(1.093)
o.age						-			-			
												
o.educ						-			-			
												
o.black						-			-			
												
o.hisp						-			-			
												
train	1.794***	1.686***	1.680***							-15.20***	-8.452***	0.213
	(0.633)	(0.631)	(0.631)							(1.155)	(1.159)	(0.853)
re74			0.0833									0.281***
			(0.0765)									(0.0279)
re75			0.0468									0.569***
			(0.131)									(0.0276)
Constant	4.555***	0.816	0.674	20.51***	-8.210***	-8.210***	20.51***	-8.210***	-8.210***	21.55***	-5.948***	1.648
	(0.408)	(2.425)	(2.423)	(0.432)	(1.802)	(1.802)	(0.432)	(1.802)	(1.802)	(0.304)	(1.793)	(1.301)
												
Observations	445	445	445	2,675	2,675	2,675	2,675	2,675	2,675	2,675	2,675	2,675
R-squared	0.018	0.048	0.055	0.000	0.185	0.185	0.000	0.185	0.185	0.061	0.201	0.586
N_control				1312	1312	1312	1312	1312	1312	1312	1312	1312
N_treated				1363	1363	1363	1363	1363	1363	1363	1363	1363
Standard errors in parentheses												
*** p<0.01, ** p<0.05, * p<0.1												
